N° work situation ,Activity sector,Company's activity ,Task,Type of process used ,Collection système +  the type if existing ,General ventilation ,Outdoors/indoors work ,Individual protection ,Product,Daily amont of the product,SDS,hazard statements  according to the CLP regulation (inhalation route),Chemicals emitted during the process,Risk level,variability (%),Confidence (%),Supporting comments ,p%1,p%2,p%3,p%4,p%5,p%6,p%7,p%8,p%9,p%10,p%11,p%12,p%13,p%14,p%15,p%16,p%17,p%18,p%19,p%20,p%21,p%22,p%23,p%24,p%25,p%26,p%27,p%28,p%29,p%30,p%31,p%32,p%33,p%34,p%35,p%36,p%37,p%38,p%39,p%40,p%41,p%42,p%43,p%44,p%45,p%46,p%47,p%48,p%49,p%50,p%51,p%52,p%53,p%54,p%55,p%56,p%57,p%58,p%59,p%60,p%61,p%62,p%63,p%64,p%65,p%66,p%67,p%68,p%69,p%70,p%71,p%72,p%73,p%74,p%75,p%76,p%77,p%78,p%79,p%80,p%81,p%82,p%83,p%84,p%85,p%86,p%87,p%88,p%89,p%90,p%91,p%92,p%93,p%94,p%95,p%96,p%97,p%98,p%99,p%100,moyenne = score à utiliser,moyenne pondérée = score à utiliser,ecart-type des moyennes des experts = les experts ont-ils une interprétation divergente du niveau de risque de la situation?,ecart-type des moyennes pondérées des experts = les experts ont-ils une interprétation divergente du niveau de risque de la situation?,ecart type des ranges des experts = dispersion du niveau de confiance des experts = les experts sont ils d'accord entre eux sur l'incertitude sur l'évaluation,taille moyenne du range des experts = niveau de confiance moyen des experts dans l'évaluation
3,building and construction sector ,company of manufacture of prefabricated reinforced concrete.,MIG arc welding ,dispersive,not operative,not operative,indoors,not operative,-,-,-,-,welding fumes ,81,20,80,"high hazard (welding fumes carcenogenic) 
and high exposure ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001101921752,9.86E-04,0.001081886811,9.14E-04,9.58E-04,9.38E-04,9.22E-04,0.001089900787,9.94E-04,0.001009761023,0.003630331298,0.003926848424,0.003982946258,0.004087127951,0.003706464073,0.003810645766,0.003970925294,0.003822666731,0.00384670866,0.003734512991,0.01359170393,0.01349152923,0.01380808129,0.01388020708,0.01394832588,0.01773092273,0.01761472007,0.01947396259,0.02110881377,0.02122501643,0.02849769999,0.02841756023,0.02804090334,0.02868202145,0.02824125274,0.02551249379,0.026458143,0.02603740924,0.02586510875,0.02633793336,0.0203875559,0.02055184241,0.02069609399,0.02044365373,0.01997082913,0.0204556747,0.02030340915,0.02007100383,0.02063598917,0.06042938885,0.02441457903,0.02447468385,0.02429036239,0.02402990816,0.02440255806,0.01383613021,0.01356365501,0.01339536151,0.01347149429,0.09369941177,80.05970813,81.37668654,11.26454615,11.71069472,11.06164545,18.3
4,Automotive  sector,"Heavy vehicle dealership : sale, rental and maintenance of new and used vehicles ",welding,dispersive,not operative,operative,indoors,not operative,-,-,-,-,welding fumes ,75,18,82,"high hazard: ""Carcinogenic"" welding fumes; high exposure: only ventilation not sufficient",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001242990692,0.001242990692,0.001330919294,0.001346906312,0.001390870613,0.002258166369,0.002438020327,0.002374072253,0.002450010591,0.002509961911,0.007693752673,0.007757700747,0.007765694256,0.007937554706,0.007573850034,0.007705742937,0.007873606631,0.007753703992,0.007825645576,0.007897587159,0.004836073109,0.004580280812,0.004868047146,0.005119842688,0.004812092581,0.004644228886,0.005115845933,0.004864050391,0.005023920576,0.004724163979,0.01308537468,0.01266571544,0.01266571544,0.01268969597,0.01282558562,0.01975595816,0.01979192895,0.02166241012,0.02326111198,0.02337302111,0.02434023573,0.02353688805,0.0242283266,0.02411641747,0.02373272902,0.02447212863,0.0244041838,0.02660639561,0.02623869418,0.02631862927,0.02542335623,0.02510761262,0.02519554122,0.02558722317,0.02520753148,0.02378069008,0.02310124179,0.0234969205,0.02354488156,0.06366830134,0.01424443352,0.01386873858,0.01418048545,0.01473203759,0.01447624529,0.01671842464,0.01674640192,0.01550341123,0.01528358973,0.01540349236,74.93510469,75.79532199,13.89739544,14.35874595,9.38083152,20.5
5,plasturgy sector ,a flexible hose manufacturing company,plastic extusion ,Open,not operative,not operative,indoors,operative ( type not specified) ,-,-,-,-,plastic fumes ,68,26,74,potentially high exposure because no preventive equipment is in place,4.63E-04,3.92E-04,3.76E-04,3.60E-04,3.92E-04,4.16E-04,3.80E-04,4.20E-04,4.12E-04,3.88E-04,3.84E-04,4.00E-04,3.96E-04,4.40E-04,3.88E-04,3.84E-04,4.32E-04,4.20E-04,4.24E-04,3.80E-04,0.002437367643,0.002461341751,0.00234946258,0.002489311544,0.002269548887,0.006313181764,0.006449035042,0.00618132417,0.006461022096,0.006744715707,0.007503895793,0.007036400687,0.007240180605,0.007020417949,0.007451951892,0.00323250889,0.003448275862,0.003132616774,0.003184560674,0.003216526152,0.00730411156,0.007579813801,0.009733487833,0.009717505094,0.009469772646,0.009661565509,0.009869341112,0.00935389779,0.01001318576,0.009509729492,0.01617053582,0.01629839773,0.01687377632,0.01644623806,0.01649418628,0.01633036321,0.01614256603,0.01657409997,0.01640628122,0.01631038478,0.01215487274,0.01199104967,0.01292204419,0.01231470012,0.01259839373,0.01670995325,0.01645422943,0.01628241499,0.01679785831,0.05587565429,0.01273025133,0.01264634195,0.01240660087,0.01249850162,0.01246254046,0.0101330563,0.009853358373,0.01236264834,0.01257841531,0.01233467855,0.01355336237,0.0139089783,0.01380908619,0.01402085747,0.0133096256,0.01368521996,0.01357733648,0.05358612698,0.01376513366,0.01398489631,0.01249850162,0.01231070444,0.01233467855,0.01294202262,0.01261837216,0.0122427778,0.01217485116,0.01022096136,0.01035281896,0.05007392017,67.20718424,67.27177911,18.58229265,19.1034984,20.20993815,25.72
6,manufacture of beds sector ,manufacturer of bed frames and mattresses. ,gluing,dispersive,extraction slit ,operative,indoors,not operative,glue ,3L,Yes ,H351 Suspected of causing cancer.,-,53,20,80,"high hazard: carcinogenic, volatile aerosol form
medium exposure because of the use of ventilation and collection.",2.88E-04,4.41E-04,3.85E-04,3.45E-04,3.89E-04,4.09E-04,3.49E-04,3.93E-04,4.25E-04,3.93E-04,3.61E-04,3.61E-04,3.93E-04,4.21E-04,5.21E-04,0.00575297464,0.0055967309,0.006045430872,0.005740955891,0.005929249629,0.009322543167,0.01673811145,0.01596490525,0.01650574897,0.0168382677,0.0159849365,0.01670606146,0.01023997436,0.00975521814,0.0096069869,0.006498137094,0.006185649613,0.006578262089,0.006430030848,0.00624173711,0.006534193342,0.006530187092,0.006638355835,0.006313849605,0.006281799607,0.009374624414,0.009402668162,0.009130243179,0.009194343175,0.009270461921,0.009306518168,0.00911421818,0.00928248067,0.009146268178,0.009082168182,0.01839669885,0.01817234886,0.01818436761,0.01807219262,0.01823644886,0.0184728176,0.01864909258,0.01827651136,0.01829253636,0.05795841513,0.01624934898,0.01624934898,0.01610913024,0.0159849365,0.01637354273,0.01456271784,0.01500340531,0.01449861784,0.0151796803,0.01530788029,0.01312046793,0.01308441168,0.01285605545,0.01329273667,0.05312287168,0.01583269901,0.01565642402,0.01588878651,0.01572453027,0.01542005529,0.0103882056,0.01076879933,0.01065662433,0.01044028685,0.01016786186,0.006526180842,0.006538199591,0.006502143344,0.006462080846,0.006482112095,0.002339649854,0.002275549858,0.002551981091,0.002291574857,0.002415768599,0.002511918593,0.002307599856,0.002463843596,0.002207443612,0.002339649854,55.61374544,55.1221636,18.81739621,18.88301853,18.77376893,21.84
7,Metalworking sector ,railway seat manufacturing company ,electrostatic powder coating  ,dispersive,booth,operative,indoors,operative ( type not specified) ,paint,"0,16 kg",Yes ,H319 Causes serious eye irritation,-,32,20,80,"low exposure : low daily amount , use of a ventilation and a booth and an individual protetctive equipment. ",3.31E-04,4.59E-04,4.27E-04,0.003597897965,0.0438017123,0.003793566112,0.003617864102,0.003530013098,0.003737660927,0.0035739386,0.01542184455,0.01544979714,0.01552966169,0.01604079481,0.01560153979,0.0071478772,0.006800466409,0.006708622177,0.007072005878,0.007411430214,0.02346420471,0.02334041466,0.02326853656,0.0234043063,0.02296105805,0.02502954988,0.02460227454,0.02516931285,0.02473005782,0.02438264703,0.01337731208,0.01334536626,0.01295402997,0.01356100054,0.01346116986,0.01385250615,0.01320161007,0.05308995943,0.01309778615,0.01330942721,0.01366881769,0.01360093282,0.01375666869,0.0130897997,0.01357697345,0.01331741367,0.0135250615,0.0130179216,0.01366881769,0.01346516308,0.009699549564,0.009755454749,0.009703542791,0.009915183848,0.009220362266,0.009599718877,0.009591732422,0.009463949142,0.009551800147,0.009360125228,0.006425103025,0.006037759959,0.006313292656,0.006405136888,0.006069705779,0.006301312973,0.006177522921,0.006129604191,0.006205475514,0.006093665144,0.005646423665,0.005279046737,0.005271060282,0.005570552343,0.005398843561,0.005422802926,0.005406830016,0.005458741974,0.005742261125,0.005738267898,0.005374884196,0.005538606523,0.005299012874,0.005390857106,0.005522633613,0.005610484618,0.005398843561,0.005314985784,0.005582532026,0.005642430438,4.11E-04,3.51E-04,4.19E-04,4.67E-04,3.59E-04,4.51E-04,3.83E-04,3.79E-04,3.55E-04,4.47E-04,38.14894339,35.61328724,19.95911822,19.9732138,19.19274863,22.28
8,ironwork sector ,ironwork company,grinding of a metal part ,dispersive,operative ( type not specified),not operative,indoors,operative ( type not specified) ,-,-,-,-,metal particles,45,21,79,"high hazard: Presence of respirable and alveolar dusts / emission of C2b particles
low exposure: dispersive process but presence of a collection system and individual equipment ",0,0,0,0,0,0,0,0,0,0.04163405332,0.002901893517,0.002851932653,0.002606291738,0.002797808383,0.002835279031,0.009446766699,0.00982979999,0.009763185505,0.009613302913,0.009542525022,0.009692407614,0.01014205539,0.009513381185,0.009692407614,0.009817309774,0.004375739004,0.004488150948,0.004463170516,0.00438822922,0.004196712575,0.003543057938,0.005279197962,0.006628141289,0.006882109015,0.006911252852,0.00908038703,0.009030426166,0.008651556281,0.008668209902,0.009184472163,0.01640798042,0.0163996536,0.01618315653,0.01611654204,0.01656618982,0.01336036771,0.01562526021,0.05724265992,0.01556697254,0.0150673639,0.01505487368,0.01458024547,0.01511732476,0.01507569071,0.01510899795,0.01311056339,0.0131147268,0.01292321015,0.01268589605,0.01310223658,0.02058387596,0.0206130198,0.02047562743,0.02091278499,0.02015920862,0.02052975169,0.01877279464,0.01830232984,0.01843972222,0.01843972222,0.01189901244,0.01244025513,0.01236947724,0.01242776492,0.01224873849,0.01114959948,0.0114785085,0.0111662531,0.01105384116,0.01127033824,0.005533165687,0.005899545356,0.005366629474,0.005653904442,0.005595616767,0.005516512066,0.005595616767,0.005724682332,0.00551234866,0.00563725082,0.004375739004,0.004300797708,0.004267490466,0.004338268356,0.00432577814,0.004184222359,0.004354921978,0.004163405332,0.004117607874,0.00394274485,52.31974953,51.31509177,20.93607738,20.6479869,8.969639184,19.3125
9,building and construction sector ,company of manufacture of prefabricated reinforced concrete.,oil spray demoulding ,dispersive,not operative,not operative,indoors,not operative,mould release oil ,30L,Yes ,H304 May be fatal if swallowed and enters airways,-,54,18,82,medium hazard ; high exposure: no protection with a dispersive process,7.39E-04,6.75E-04,8.11E-04,7.39E-04,7.55E-04,6.91E-04,7.51E-04,7.59E-04,8.55E-04,0.0407470153,0.002868832809,0.002856846042,0.002912784286,0.002836868098,0.002908788697,0.002812894564,0.002717000432,0.003008678419,0.002972718119,0.003068612252,0.005773625917,0.00579759945,0.005953427416,0.005889497994,0.04552174399,0.005921462705,0.005829564161,0.005817577395,0.006013361249,0.005609806773,0.007915261551,0.008079080695,0.007943230673,0.007895283607,0.008083076284,0.007359874698,0.01020073838,0.01023669868,0.009597404465,0.01015279132,0.012206524,0.01184292541,0.01203870926,0.01205069603,0.01219054164,0.012206524,0.01183093864,0.01194281513,0.01227045342,0.01181895188,0.01533906567,0.01493950678,0.01533906567,0.01519922006,0.01307356678,0.01312550944,0.01293372117,0.01291773882,0.01338522271,0.01315747415,0.01418434049,0.01386069779,0.01417634931,0.01376080807,0.01406447282,0.01391264044,0.01413239783,0.01376879925,0.01381674631,0.0147557097,0.01825584555,0.01765650722,0.01853553677,0.01783231313,0.0179841455,0.01442807141,0.01455593025,0.01457990379,0.01472774057,0.0148276303,0.01252617111,0.01322539916,0.01268599466,0.01283782704,0.01241429462,0.01247422845,0.01288577411,0.01284182263,0.01274592849,0.01171506657,0.004894596366,0.004810688999,0.004910578721,0.004690821333,0.004650865445,0.004782719877,0.00484265371,0.004790711055,0.004818680177,0.004750755166,55.56297847,54.57100365,21.47364897,21.19078006,23.95348826,23.52
10,building and construction sector ,company of manufacture of prefabricated reinforced concrete.,concrete sanding ,dispersive,not operative,not operative,indoors,not operative,-,-,-,-,concrete dust ,79,18,82,high hazard du to the concrete dust and high exposure ( dispersive process without any protective equipement),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004188900214,0.003997042189,0.004029018526,0.004009033315,0.003829166417,0.003909107261,0.004256849931,0.003781201911,0.004041009653,0.003949077683,0.003061734317,0.003109698823,0.002985790515,0.003197633751,0.002917840798,0.002825908827,0.002945820093,0.002981793473,0.002941823051,0.002965805304,0.00668305454,0.006758998341,0.009005336051,0.009041309431,0.04897575794,0.009237164498,0.008993344925,0.009153226612,0.00876551352,0.009365069848,0.01199112657,0.01215900234,0.01206307333,0.01182724784,0.01218698163,0.01217499051,0.01194316206,0.01216299938,0.01199912065,0.01261066811,0.0240741851,0.02417411116,0.02202370246,0.02204768471,0.02230749246,0.02775546096,0.02722785139,0.0275036473,0.0273997242,0.1070727662,0.01691947959,0.01724324,0.01761096788,0.01749505366,0.01728321042,0.01297439894,0.01337410316,0.01346203809,0.01306633092,0.01308631613,0.01707536423,0.01733117493,0.01684753283,0.01701940564,0.01720726662,0.01456522174,0.0145332454,0.0147610768,0.01480104723,0.05473549573,74.28262686,75.12571145,15.30508412,16.02226093,10.32666451,15.6
11,Metalworking sector ,railway seat manufacturing company ,polishing of aluminum and magnesium parts,dispersive,not operative,not operative,indoors,not operative,-,-,-,-,aluminium and magnesium fumes,65,18,82,"high hazard: respiratory damage due to the aluminum and magnesium fumes
high exposure: dispersive process without any protective equipment ",0,0,0,0,0,0,0,0,0,0.04554605161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002928611119,0.002778309148,0.002805636779,0.00465936108,0.005110266991,0.005183140674,0.005014620283,0.005128485412,0.006718042613,0.006558631432,0.006572295248,0.006390111041,0.006640614325,0.006426547883,0.00690933603,0.006654278141,0.003689230181,0.04928993706,0.01727561738,0.01794969894,0.01779484237,0.01788137986,0.01780395158,0.0157042786,0.01561318649,0.01582725294,0.01560407728,0.01806356407,0.0153581286,0.01515772598,0.01568150557,0.01529891874,0.01547654834,0.02116069558,0.0212654515,0.021178914,0.02115614097,0.02150684557,0.01891982984,0.01911112326,0.01898814892,0.01911112326,0.01904735878,0.01293052405,0.01276655827,0.01271190301,0.01233387078,0.05610362638,0.01856457064,0.01872853642,0.01857367985,0.01921132457,0.01850991538,0.01890616602,0.01828218512,0.01846892393,0.01887883839,0.01892438445,0.007023201159,0.007355687335,0.007360241941,0.007387569572,0.007396678782,0.007273704443,0.007187166944,0.007455888649,0.007232712996,0.00749232549,65.51879686,65.23640956,18.80198029,18.57974963,9.949874371,18
14,Maintenance and control sector,Garden maintenance service company ,gluing of wooden garden shed parts,open ,not operative,not operative,outdoors,not operative,wood glue ,None,Yes ,H318 Causes serious eye damage.,-,38,17,83,"low hazard and low exposure ( open process but outdoors working)
",0,0,0,0,0.04979707691,0,0,0,0,0,0.0128177676,0.0121753853,0.01241441127,0.01265343724,0.0123646142,0.01257874163,0.01254886338,0.0123695939,0.01245922864,0.0123695939,0.007638871598,0.007255434106,0.01195129846,0.0119811767,0.06200732017,0.01228493887,0.01220526355,0.01213056794,0.01164255658,0.01227995917,0.01925652964,0.01986903369,0.01931130643,0.01516320992,0.01507357518,0.01503871723,0.01507357518,0.01554664741,0.01507357518,0.01503871723,0.01488434629,0.01503871723,0.01540223589,0.01493912307,0.01451086821,0.01460050295,0.01513333167,0.01519806787,0.01494410278,0.01505365635,0.004417000722,0.003993725568,0.004202873291,0.004177974753,0.005318327814,0.006463660583,0.006603092398,0.006568234445,0.00670766626,0.006398924383,0.008385827752,0.008515300152,0.008485421906,0.008221497398,0.05816298583,0.008206558275,0.008341010383,0.008057167044,0.008256355352,0.008311132137,0.01339541369,0.01312152977,0.01357966287,0.01364439907,0.01208077086,0.01082090481,0.01107984961,0.01103005254,0.01097029604,0.01078604686,0.004172995045,0.004153076214,0.004078380599,0.004202873291,0.004397081891,0.004327365984,0.004138137091,0.004078380599,0.003958867614,0.004113238553,0,0,0,0,0,0,0,0,0,0,42.292269,39.77226788,21.9875533,22.09807372,8.622499638,14.55
