onboarding_id,year,department,training,days_to_complete,due_days,status
ONB000001,2022,Nursing,Ethics,5,30,Completed
ONB000002,2025,Business,FERPA,36,30,Escalated
ONB000003,2025,Nursing,Ethics,10,14,Completed
ONB000004,2025,Nursing,Accessibility,4,30,Completed
ONB000005,2021,Business,FERPA,37,14,Late
ONB000006,2024,Business,Accessibility,25,30,Completed
ONB000007,2022,Business,Ethics,5,21,Completed
ONB000008,2023,Humanities,FERPA,40,14,Escalated
ONB000009,2021,Nursing,Accessibility,7,21,Completed
ONB000010,2022,Nursing,FERPA,31,14,Escalated
ONB000011,2023,Nursing,FERPA,22,21,Escalated
ONB000012,2023,Business,Title IX,39,30,Late
ONB000013,2023,STEM,Cybersecurity,38,30,Escalated
ONB000014,2023,STEM,Cybersecurity,38,30,Escalated
ONB000015,2022,Humanities,Accessibility,29,21,Escalated
ONB000016,2021,Nursing,Ethics,10,30,Completed
ONB000017,2025,Education,FERPA,7,30,Completed
ONB000018,2023,Nursing,Accessibility,29,21,Late
ONB000019,2022,Education,Accessibility,7,21,Completed
ONB000020,2021,Humanities,FERPA,4,30,Completed
ONB000021,2025,Education,Accessibility,23,14,Late
ONB000022,2024,Education,FERPA,24,30,Completed
ONB000023,2024,Business,Cybersecurity,20,30,Completed
ONB000024,2021,Education,Cybersecurity,15,21,Completed
ONB000025,2024,Humanities,Cybersecurity,4,30,Completed
ONB000026,2021,Business,Cybersecurity,11,30,Completed
ONB000027,2023,STEM,Accessibility,14,21,Completed
ONB000028,2023,Humanities,Ethics,40,21,Late
ONB000029,2021,Education,Ethics,24,21,Late
ONB000030,2023,Business,Accessibility,32,21,Late
ONB000031,2025,Education,Ethics,29,14,Late
ONB000032,2021,Humanities,Ethics,8,30,Completed
ONB000033,2022,Nursing,Ethics,31,21,Escalated
ONB000034,2022,Nursing,FERPA,16,30,Completed
ONB000035,2022,STEM,FERPA,13,30,Completed
ONB000036,2021,Nursing,Ethics,27,30,Completed
ONB000037,2021,Humanities,Cybersecurity,26,21,Escalated
ONB000038,2022,Education,FERPA,28,14,Late
ONB000039,2025,Nursing,Title IX,24,21,Escalated
ONB000040,2024,Education,Cybersecurity,36,30,Late
ONB000041,2023,Humanities,Ethics,35,21,Late
ONB000042,2023,Business,Cybersecurity,33,30,Escalated
ONB000043,2023,Humanities,Title IX,34,21,Late
ONB000044,2023,Education,Accessibility,9,21,Completed
ONB000045,2025,Nursing,Accessibility,21,21,Completed
ONB000046,2025,Business,Title IX,19,21,Completed
ONB000047,2021,Nursing,FERPA,23,21,Late
ONB000048,2022,Nursing,FERPA,15,14,Escalated
ONB000049,2022,Business,FERPA,28,14,Late
