move_id,year,month,origin,origin_lat,origin_lon,destination,dest_lat,dest_lon,students_moved
MOV000001,2021,12,Lakeview,41.950972,-87.660114,South Shore,41.753713,-87.568217,153
MOV000002,2023,5,Englewood,41.774739,-87.660159,South Shore,41.765466,-87.569581,54
MOV000003,2025,6,Lakeview,41.954494,-87.636252,Austin,41.907279,-87.747446,48
MOV000004,2021,5,South Shore,41.759666,-87.554205,Englewood,41.77465,-87.645268,313
MOV000005,2022,11,Hyde Park,41.80237,-87.594532,Austin,41.901489,-87.77744,228
MOV000006,2022,12,Rogers Park,41.996049,-87.667858,Hyde Park,41.803342,-87.590073,325
MOV000007,2021,12,South Shore,41.748627,-87.573897,Hyde Park,41.790913,-87.573244,125
MOV000008,2024,6,Austin,41.8815,-87.783628,Loop,41.886095,-87.628884,151
MOV000009,2023,5,South Shore,41.750711,-87.571404,Rogers Park,42.025981,-87.668834,290
MOV000010,2021,7,Loop,41.87024,-87.633484,Englewood,41.781321,-87.647345,205
MOV000011,2021,3,Austin,41.874421,-87.74743,Rogers Park,41.997416,-87.66088,212
MOV000012,2025,9,Austin,41.877218,-87.765456,Loop,41.8792,-87.615087,21
MOV000013,2022,4,Rogers Park,41.995999,-87.668778,Lakeview,41.956047,-87.668981,26
MOV000014,2023,10,Englewood,41.77674,-87.650115,Loop,41.872061,-87.626194,390
MOV000015,2025,11,Lakeview,41.932739,-87.639347,Austin,41.884309,-87.755832,49
MOV000016,2022,12,Lakeview,41.931025,-87.644056,Loop,41.859499,-87.616537,107
MOV000017,2024,12,Englewood,41.777452,-87.636975,Rogers Park,41.99258,-87.670577,113
MOV000018,2025,7,Austin,41.871738,-87.768956,Loop,41.88771,-87.631239,92
MOV000019,2023,1,Lakeview,41.936758,-87.660051,South Shore,41.747841,-87.578842,271
MOV000020,2024,5,Hyde Park,41.806479,-87.574777,South Shore,41.752114,-87.589929,339
MOV000021,2023,6,Austin,41.903629,-87.77366,South Shore,41.768976,-87.563932,41
MOV000022,2021,12,Rogers Park,42.014271,-87.680947,Loop,41.876671,-87.619761,104
MOV000023,2022,4,South Shore,41.764039,-87.579049,Pilsen,41.859567,-87.669199,214
MOV000024,2021,12,Rogers Park,41.999565,-87.670632,Englewood,41.792795,-87.633102,181
MOV000025,2024,10,Austin,41.889092,-87.783794,Englewood,41.768303,-87.639658,241
MOV000026,2024,5,Pilsen,41.856288,-87.66921,South Shore,41.753001,-87.584058,391
MOV000027,2022,1,Lakeview,41.956847,-87.649279,Englewood,41.763847,-87.64229,70
MOV000028,2021,5,Loop,41.874698,-87.631024,Austin,41.877896,-87.779228,133
MOV000029,2021,10,South Shore,41.757197,-87.562175,Englewood,41.783313,-87.654665,289
MOV000030,2024,10,Loop,41.885565,-87.637447,Pilsen,41.849057,-87.656052,234
MOV000031,2021,9,South Shore,41.750906,-87.575416,Pilsen,41.870743,-87.656119,348
MOV000032,2021,6,Lakeview,41.939033,-87.654123,Loop,41.861226,-87.631745,85
