visit_id,date,city,museum,visitor_type,party_size,revenue
VIS000001,2021-02-27,Chicago,Science and Industry,Adult,2,50
VIS000002,2024-04-19,NYC,Whitney,Senior,5,125
VIS000003,2021-05-15,NYC,Guggenheim,Adult,4,120
VIS000004,2021-09-03,Chicago,Field Museum,Student,3,90
VIS000005,2025-11-28,NYC,MoMA,Member,5,150
VIS000006,2021-10-26,NYC,MoMA,Member,5,0
VIS000007,2024-04-30,Chicago,Shedd Aquarium,Child,5,125
VIS000008,2025-11-26,Chicago,Art Institute of Chicago,Senior,6,150
VIS000009,2024-05-30,NYC,Guggenheim,Child,4,48
VIS000010,2025-05-07,Chicago,Field Museum,Member,2,50
VIS000011,2025-10-15,Chicago,Field Museum,Student,1,18
VIS000012,2022-06-09,NYC,Metropolitan Museum,Member,4,72
VIS000013,2024-01-01,NYC,Whitney,Adult,4,0
VIS000014,2023-11-09,Chicago,Field Museum,Member,3,75
VIS000015,2024-05-12,NYC,Metropolitan Museum,Senior,2,24
VIS000016,2024-11-06,NYC,MoMA,Child,2,36
VIS000017,2023-06-12,Chicago,Shedd Aquarium,Student,3,54
VIS000018,2025-02-27,Chicago,Shedd Aquarium,Adult,3,90
VIS000019,2024-08-18,Chicago,Field Museum,Adult,6,108
VIS000020,2021-04-10,Chicago,Science and Industry,Student,1,25
VIS000021,2022-07-24,Chicago,Shedd Aquarium,Adult,2,36
VIS000022,2021-09-02,Chicago,Art Institute of Chicago,Child,6,0
VIS000023,2021-06-04,Chicago,Shedd Aquarium,Adult,2,60
VIS000024,2021-07-09,NYC,Guggenheim,Senior,6,150
VIS000025,2023-02-09,NYC,Metropolitan Museum,Student,6,180
VIS000026,2023-10-12,Chicago,Shedd Aquarium,Child,4,0
VIS000027,2023-08-12,NYC,Guggenheim,Member,6,72
VIS000028,2024-06-03,NYC,Guggenheim,Adult,5,0
VIS000029,2022-06-26,NYC,Guggenheim,Senior,5,90
VIS000030,2021-02-28,NYC,Metropolitan Museum,Child,2,50
VIS000031,2021-11-18,NYC,MoMA,Child,1,30
VIS000032,2022-08-12,Chicago,Science and Industry,Student,6,150
VIS000033,2023-09-04,Chicago,Field Museum,Senior,4,100
VIS000034,2021-09-20,Chicago,Science and Industry,Senior,6,180
VIS000035,2023-05-26,Chicago,Shedd Aquarium,Adult,2,50
VIS000036,2022-07-15,Chicago,Shedd Aquarium,Adult,3,0
VIS000037,2024-12-11,Chicago,Field Museum,Adult,2,50
VIS000038,2024-04-08,Chicago,Science and Industry,Senior,5,150
VIS000039,2023-12-20,NYC,Guggenheim,Member,3,0
VIS000040,2024-07-13,NYC,Whitney,Member,6,0
VIS000041,2021-01-11,Chicago,Art Institute of Chicago,Child,5,150
VIS000042,2023-08-26,NYC,Metropolitan Museum,Student,3,0
VIS000043,2023-10-20,NYC,Metropolitan Museum,Senior,6,180
VIS000044,2023-09-13,Chicago,Shedd Aquarium,Senior,5,90
VIS000045,2022-04-21,Chicago,Shedd Aquarium,Child,5,90
VIS000046,2022-01-25,NYC,Metropolitan Museum,Senior,6,150
VIS000047,2022-01-11,NYC,Metropolitan Museum,Child,2,0
VIS000048,2022-06-06,Chicago,Field Museum,Adult,1,12
VIS000049,2023-01-27,Chicago,Science and Industry,Member,1,25
VIS000050,2022-07-11,Chicago,Field Museum,Senior,5,150
VIS000051,2025-01-18,NYC,Whitney,Adult,6,108
VIS000052,2024-01-22,NYC,Whitney,Adult,6,180
VIS000053,2025-03-13,Chicago,Shedd Aquarium,Adult,6,0
VIS000054,2021-08-31,NYC,Guggenheim,Adult,5,60
VIS000055,2025-03-18,Chicago,Art Institute of Chicago,Adult,2,50
VIS000056,2024-07-04,Chicago,Shedd Aquarium,Senior,2,24
VIS000057,2023-09-19,Chicago,Science and Industry,Adult,6,150
VIS000058,2021-09-01,NYC,MoMA,Senior,2,24
VIS000059,2025-05-20,Chicago,Shedd Aquarium,Student,5,150
VIS000060,2022-04-19,Chicago,Field Museum,Adult,1,0
VIS000061,2023-10-20,NYC,MoMA,Member,2,50
VIS000062,2025-01-24,Chicago,Field Museum,Child,5,125
VIS000063,2022-06-25,NYC,MoMA,Member,1,18
VIS000064,2024-08-12,NYC,MoMA,Senior,6,72
VIS000065,2025-11-09,NYC,Guggenheim,Senior,1,25
VIS000066,2024-09-17,NYC,Whitney,Student,1,25
VIS000067,2021-05-03,NYC,MoMA,Senior,6,150
VIS000068,2022-11-29,NYC,Whitney,Child,2,36
VIS000069,2023-09-27,Chicago,Art Institute of Chicago,Senior,2,50
VIS000070,2025-12-23,NYC,Guggenheim,Senior,2,50
